老千 ,"['崔东勋', '崔东勋', '许英万', '曹承佑', '金惠秀', '白润植', '柳海真', '李水京', '金应洙', '金允石', '剧情', '犯罪']","['崔东勋', '许英万']","['曹承佑', '金惠秀', '白润植', '柳海真', '李水京', '金应洙', '金允石']","['剧情', '犯罪']",['制片国家/地区: 韩国'],['语言: 韩语'],['上映日期: 2006-09-28'],['又名: 泰沙大豪客(港) / The War of Flower / Tazza: the High Rollers'],"
                            ",['ftp://6vdy:6vdy@vip.36ys.com:2116/【6V电影www.6vdy.com】老千BD中字1024x576无水印版.rmvb']
到阜阳六百里 ,"['邓勇星', '杨南倩', '秦海璐', '席然', '邓勇星', '葛文喆', '秦海璐', '唐群', '李彬彬', '沈羿铨', '周益伦', '剧情']","['杨南倩', '秦海璐', '席然', '邓勇星', '葛文喆']","['秦海璐', '唐群', '李彬彬', '沈羿铨', '周益伦']",['剧情'],['制片国家/地区: 中国大陆 / 台湾'],['语言: 汉语普通话 / 上海话'],['上映日期: 2011-12-23(台湾)'],['又名: Return Ticket'],"
                            ",['ed2k://|file|到阜阳六百里.720p.HD国语中字[最新电影www.66e.cc].mkv|1124483094|D0FEEFC1F98FC6FA1C90B971E839C42F|h=TLMQJURCXWMBJQCQY7GCXL74VGYZDH2B|/']
绿皮书 ,"['彼得·法雷利', '尼克·维勒欧嘉', '布莱恩·库瑞', '彼得·法雷利', '维果·莫腾森', '马赫沙拉·阿里', '琳达·卡德里尼', '塞巴斯蒂安·马尼斯科', 'Dimiter D. Marinov', 'Mike Hatton', 'P·J·伯恩', '乔·柯蒂斯', 'Maggie Nixon', 'Von Lewis', 'Jon Sortland', '唐·斯达克', 'Anthony Mangano', '保罗·斯隆', 'Kenneth Israel', '伊克博·塞巴', '尼克·维勒欧嘉', 'David An', '迈克·切罗内', '杰拉尔丁·辛格', '马丁·布拉德福德', '格拉伦·班克斯', '汤姆·维图', 'Shane Partlow', 'Dennis W. Hall', '吉姆·克洛克', '戴恩·罗兹', '布赖恩·斯特帕尼克', 'Jon Michael Davis', '布莱恩·库瑞', 'Tonya Maldonado', '剧情', '喜剧', '音乐', '传记']","['尼克·维勒欧嘉', '布莱恩·库瑞', '彼得·法雷利']","['维果·莫腾森', '马赫沙拉·阿里', '琳达·卡德里尼', '塞巴斯蒂安·马尼斯科', 'Dimiter D. Marinov', 'Mike Hatton', 'P·J·伯恩', '乔·柯蒂斯', 'Maggie Nixon', 'Von Lewis', 'Jon Sortland', '唐·斯达克', 'Anthony Mangano', '保罗·斯隆', 'Kenneth Israel', '伊克博·塞巴', '尼克·维勒欧嘉', 'David An', '迈克·切罗内', '杰拉尔丁·辛格', '马丁·布拉德福德', '格拉伦·班克斯', '汤姆·维图', 'Shane Partlow', 'Dennis W. Hall', '吉姆·克洛克', '戴恩·罗兹', '布赖恩·斯特帕尼克', 'Jon Michael Davis', '布莱恩·库瑞', 'Tonya Maldonado']","['剧情', '喜剧', '音乐', '传记']",['制片国家/地区: 美国'],['语言: 英语 / 意大利语 / 俄语 / 德语'],['上映日期: 2018-09-11(多伦多电影节) / 2018-11-21(美国)'],['又名: 绿簿旅友(港) / 绿书'],"
                            ","['ed2k://|file|lps.720p.BD中英双字[最新电影www.66ys.tv].mp4|1770547542|C3CAF9577649441B44EB1AE67968E0EA|h=7JW46YUNDVK6K7ZPCKUBPM4RADAXFP26|/', 'ed2k://|file|lps.720p.HD中英双字[最新电影www.66ys.tv] .mp4|1522610739|D75469D417A42AC16D0CE625381E5C2C|h=ZK7GZLTUBELOJAHAFL6ANAMYFJNGGNQS|/', 'ed2k://|file|lps.1080p.BD中英双字[最新电影www.66ys.tv].mp4|4771647304|60ABF27F896E8C5B6BF265AE8BAB1128|h=RBQVX4WAZAQVQCJALVMDUIM6C3RVFPR7|/', 'ed2k://|file|绿皮书.720p.国英双语.BD中英双字[最新电影www.66e.cc].mkv|1805202518|74F94EDB781C0C21157B3FB9F8383F2F|h=YKSYNHBW2SNELTYS4WXGCGNHF2NNX47F|/', 'ed2k://|file|lps.1080p.HD中英双字[最新电影www.66ys.tv] .mp4|3750480882|52F51C6AB8FAE52573EE5DA0D89A4147|h=RJF3A5GV4S6JZRZUUJOXAKFH7V74L3JZ|/']"
夺镖 ,"['郭玉波', '郭玉波', '言杰', '赵聪', '何翔', '郝伟', '朱嘉镇', '鲁文秀', '武侠', '古装']",['郭玉波'],"['言杰', '赵聪', '何翔', '郝伟', '朱嘉镇', '鲁文秀']","['武侠', '古装']",['制片国家/地区: 中国大陆'],['语言: 汉语普通话'],['上映日期: 2019-05-13(中国大陆)'],[],"
                            ",['ed2k://|file|夺镖.1080p.HD国语中字[最新电影www.66e.cc].mp4|1024510175|A6ED0E750DC029D840331359FB2F8960|h=2RFIVOEM4IH4I536IHANKFUKLDNTY44N|/']
神笔奇侠传 ,"['张大尉', '刘拉举', '张大尉', '林扬', '翟艺舒', '高昕', '时晓飞', '刘勇', '缪歌', '郜玄铭', '爱情', '奇幻', '武侠', '古装']","['刘拉举', '张大尉']","['林扬', '翟艺舒', '高昕', '时晓飞', '刘勇', '缪歌', '郜玄铭']","['爱情', '奇幻', '武侠', '古装']",['制片国家/地区: 中国大陆'],['语言: 汉语普通话'],['上映日期: 2019-05-11(中国大陆)'],['又名: Ink Man / 水墨神笔侠 / 神笔江湖：美人图'],"
                            昏君重色，奸佞弄权。为讨好皇帝（郜玄铭 饰）换取朝野势力，贬至江陵的秦淮王爷（缪歌 饰），在王府总管夏梦海（时晓飞 饰）的谋划下，肆意掳掠民间少女进献，其中包括医女善雨（翟艺舒 饰）。画师林欢（林扬 饰）为救青梅竹马的心上人，拜师神笔大侠马成勋（刘勇 饰），与好友白泽（高昕 饰）一道，与秦淮王府展开一系列的斗智斗勇，逐渐发现隐藏在王府内的惊天阴谋……",['ed2k://|file|神笔奇侠传.1080p.HD国语中字[最新电影www.66e.cc].mp4|1147311906|49E57F89B5D8848C1408397A387D8383|h=UW7PDXE7CHN5MUXNZ2HVXJYQHP52SVGT|/']
开战 ,"['史蒂芬·布塞', '史蒂芬·布塞', '奥利维尔·拉戈斯', '拉尔夫·布林多尔', '奥利维尔·斯勒梅尔', '泽维尔·马修', '文森特·林顿', '梅兰妮·罗弗', '雅克·博尔德里', '戴维·雷伊', '奥利维尔·斯勒梅尔', '伊莎贝尔·鲁芬', '剧情']","['史蒂芬·布塞', '奥利维尔·拉戈斯', '拉尔夫·布林多尔', '奥利维尔·斯勒梅尔', '泽维尔·马修']","['文森特·林顿', '梅兰妮·罗弗', '雅克·博尔德里', '戴维·雷伊', '奥利维尔·斯勒梅尔', '伊莎贝尔·鲁芬']",['剧情'],['制片国家/地区: 法国'],['语言: 法语'],['上映日期: 2018-05-15(戛纳电影节) / 2018-05-16(法国)'],['又名: 打工仔革命(港) / 全面开战 / 另一个世界 / At War / Un Autre Monde'],"
                            尽管员工在财务方面做出了巨大牺牲，公司也获得了创纪录盈利，但Perrin Industrie工厂的管理层仍决定关闭全厂。工人与企业的协议被撕毁，承诺未被遵守，1100名员工在其领导人Laurent Amédéo的带领下，拒绝接受这个突如其来的决定，并尝试拯救各自的岗位。",['ed2k://|file|开战.720p.BD中字[最新电影www.66e.cc].mkv|1521824088|0E07A6D118886E75EAFA2F87A8DE1EBA|h=4HVQTU4TZIBK5DQP46UI5QI7CORBAMJH|/']
转型团伙 ,"['吴镇宇', '蔡悦', '吴镇宇', '乔杉', '文松', '吴志雄', '衣云鹤', '费曼', '于莎莎', '任达华', '喜剧']",['蔡悦'],"['吴镇宇', '乔杉', '文松', '吴志雄', '衣云鹤', '费曼', '于莎莎', '任达华']",['喜剧'],['制片国家/地区: 中国大陆'],['语言: 汉语普通话'],['上映日期: 2019-04-19(中国大陆)'],['又名: 费曼的夏天 / Change of Gangster'],"
                            过气影帝宇哥（吴镇宇饰）与当红童星费曼（费曼饰）因一场拍摄意外而陷入黑帮纷争的故事。失忆的宇哥意外“入戏”，以为自己就是真正的社团大哥，为了赚钱照顾儿子决定重出江湖，殊不知时代已经改变，引发一连串令人啼笑皆非的乌龙事件，更上演了险象环生的黑帮纷争…… ","['ed2k://|file|转型团伙.1080p.HD国语中字无水印[最新电影www.66e.cc].mp4|1832678434|B2C18A5E424979137E3F2652119DE66A|h=VEQVIRA5KUQLK63HANVHP2LKEUULK62Q|/', 'ed2k://|file|转型团伙.4k.HD国语中字无水印[最新电影www.66e.cc].mp4|4407169510|BC1AF214013397CDBBC9153FA023CCCD|h=HJUHE2D7WCHI2Q5ZYMAXL2NXHATBDP5A|/']"
那些女人 ,"['吴贻弓', '江平', '李作楠', '吴贻弓', '江平', '李作楠', '何赛飞', '胡可', '殷桃', '白冰', '谢林彤', '马伊琍', '姚晨', '茹萍', '周冬雨', '夏雨', '陈龙', '佟大为', '牛犇', '岳红', '巩汉林', '金珠', '王千源', '张一山', '王景春', '马精武', '许凝', '李木子', '张山', '肖荣生', '佟瑞欣', '陈创', '邱林', '郑毓芝', '郑昊', '侯勇', '保剑锋', '秦怡', '傅绍杰', '于蓝', '张目', '祝希娟', '宋晓英', '陶玉玲', '谢芳', '祖峰', '剧情']","['吴贻弓', '江平', '李作楠']","['何赛飞', '胡可', '殷桃', '白冰', '谢林彤', '马伊琍', '姚晨', '茹萍', '周冬雨', '夏雨', '陈龙', '佟大为', '牛犇', '岳红', '巩汉林', '金珠', '王千源', '张一山', '王景春', '马精武', '许凝', '李木子', '张山', '肖荣生', '佟瑞欣', '陈创', '邱林', '郑毓芝', '郑昊', '侯勇', '保剑锋', '秦怡', '傅绍杰', '于蓝', '张目', '祝希娟', '宋晓英', '陶玉玲', '谢芳', '祖峰']",['剧情'],['制片国家/地区: 中国大陆'],['语言: 汉语普通话'],['上映日期: 2018-09-03(中国大陆) / 2018-06-19(上海电影节)'],['又名: 那些年，那些女人 / Goddesses In The Flames Of War'],"
                            讲述了二战期间，发生在长江边上的一座悲情城市里的凄婉美丽的女人故事，通过回忆的视角再现了那个腥风血雨的年代，一群不同身份、性情各异的女子，在家仇国恨面前，抛弃前嫌，不计恩怨，与日寇、汉奸、汪伪特工巧妙周旋、斗智斗勇，最后不惜牺牲性命，在血与火的洗礼中涅槃永生。",['ed2k://|file|那些女人.1080p.HD国语中字无水印[最新电影www.66e.cc].mp4|2030243725|B169601704303E1E869DBB1633C3DFD1|h=VSRIWP2KFWWPIN7GP34MVMAJCDB6WLEA|/']
鬼镇灵异杀人事件 ,"['Austin Vesely', 'Austin Vesely', '凯瑟琳·坎宁安', 'Chance The Rapper', 'Zazie Beetz', '喜剧', '恐怖']",['Austin Vesely'],"['凯瑟琳·坎宁安', 'Chance The Rapper', 'Zazie Beetz']","['喜剧', '恐怖']",['制片国家/地区: 美国'],['语言: 英语'],['上映日期: 2018-09-10(美国)'],['又名: Kingfisher'],"
                            当比萨饼送货司机在工作中丧生时，这个城市会找人责怪：鬼魂，毒贩，一个不光彩的狼人？","['ed2k://|file|鬼镇灵异杀人事件.720p.BD中英双字[最新电影www.66e.cc].mp4|745977765|B1F99FC2F5FC0B09FD40896AC1394A09|h=L2H6D5EG26SACURNHZEGHBV4GFURBYSC|/', 'http://bt.pp63.org/2019/鬼镇灵异杀人事件.720p.BD中英双字.torrent']"
欲念游戏 ,"['郭涛', '束焕', '蔡悦', '王彤镇', '郭涛', '张子枫', '姜潮', '梅婷', '范伟', '王迅', '盖玥希', '科幻', '悬疑', '犯罪']","['束焕', '蔡悦', '王彤镇']","['郭涛', '张子枫', '姜潮', '梅婷', '范伟', '王迅', '盖玥希']","['科幻', '悬疑', '犯罪']",['制片国家/地区: 中国大陆'],['语言: 汉语普通话'],['上映日期: 2019-04-12(中国大陆)'],['又名: 欲念规则 / The Game of Desire'],"
                            《欲念游戏》讲述在2020年，一代叱咤智能科技领域的风云人物郭实（郭涛饰），在经历丧女之痛后决定远离尘嚣，终日与智能机器人相伴。但一次意外的发生，郭实莫名沦为“杀人逃犯”，并一步步落入对方所设的陷阱中。为证清白，郭实重拾“化蝶系统”，与爱徒飞凡（姜潮饰）和机械发烧友萌萌（张子枫饰）联手追查真凶。在探寻真相的过程中，郭实发现妻子宁雪（梅婷饰）和好兄弟老查（范伟饰）与此事有着千丝万缕的联系，但逐渐被视觉致幻的他开始难辨真假虚实，一场有关科技的烧脑战役呼之欲开。","['ed2k://|file|欲念游戏.4k.HD国语中字无水印[最新电影www.66e.cc].mp4|5305890688|1E8FF60E07C0CDFDB01860E809F059EF|h=YYZBVXNGWNXEYIPYNKEERTTRDEJCKTP4|/', 'ed2k://|file|欲念游戏..1080p.HD国语中字无水印[最新电影www.66e.cc].mp4|2153986919|7A57348947624CDC6A6B9020635D195D|h=F2NIKFKIHBYJK5IBV2PBUZZLUA5Y764L|/']"
钟馗诛妖传 ,"['李立铭', '李立铭', '陈浩民', '高晓攀', '飞儿', '万美汐', '动作', '奇幻', '古装']",['李立铭'],"['陈浩民', '高晓攀', '飞儿', '万美汐']","['动作', '奇幻', '古装']",['制片国家/地区: 中国大陆'],['语言: 汉语普通话'],['上映日期: 2019-05-11(中国大陆)'],[],"
                            盛唐年间万妖当道，天师府掌门无尘子为保天下苍生，以自身元神封印妖王沐风，企图感化妖王。岂料沐风心爱之人花妖风四娘寻仇而来，血洗天师府。无尘子万般无奈之下，将其灵魄及妖王妖元转入钟馗体内。天性半人半妖、亦善亦恶的钟馗，面对与天师府无尘子的师徒情谊，妖界的引诱要挟，一念成神 ，一念成妖，究竟该如何抉择？",['ed2k://|file|钟馗诛妖传.4k.HD国语中字[最新电影www.66e.cc].mp4|1875537216|C3608B7FB8FD3C39CD74B1335B8128B5|h=D6UXXU4WVVO4IJAVO2PAPEGJR4UY7AK4|/']
心仇 ,"['Ben Rekhi', 'Ben Rekhi', 'Onay Sales', 'Alessandra de Ross', 'Jake Macapagal', '动作', '惊悚', '犯罪']","['Ben Rekhi', 'Onay Sales']","['Alessandra de Ross', 'Jake Macapagal']","['动作', '惊悚', '犯罪']",['制片国家/地区: 菲律宾'],['语言: 英语'],['上映日期: 2019-05-17(美国)'],['又名: 报而不复(港) / 杀手玛莉亚(台)'],"
                            当过杀手的她力图摆脱晦暗的过去，直到一支渴求权力的帮派锁定她和她的家人，也逼得她再度运用杀手的本能行事。","['http://bt.pp63.org/2019/心仇.720p.BD中字.torrent', 'ed2k://|file|心仇.720p.BD中字[最新电影www.66e.cc].mp4|792590736|C864B9F8E8A2DE3515A8467CC2BAA2D2|h=KLP6Z55HL57N6T7GGRAXZXJMQWFAMVKR|/']"
女孩 ,"['卢卡斯·德霍特', '卢卡斯·德霍特', '安吉洛·提森', '维克托·波尔斯特', '阿里耶·沃索尔特', '奥利弗·博达特', '蒂伊门·戈瓦尔茨', '卡特简·达门', '瓦伦提金·达恩斯', '克里斯·泰斯', '安吉洛·提森', '艾莉西亚·德佩克', '剧情', '同性']","['卢卡斯·德霍特', '安吉洛·提森']","['维克托·波尔斯特', '阿里耶·沃索尔特', '奥利弗·博达特', '蒂伊门·戈瓦尔茨', '卡特简·达门', '瓦伦提金·达恩斯', '克里斯·泰斯', '安吉洛·提森', '艾莉西亚·德佩克']","['剧情', '同性']",['制片国家/地区: 比利时 / 荷兰'],['语言: 法语 / 弗拉芒语 / 英语'],['上映日期: 2018-05-12(戛纳电影节) / 2018-11-01(荷兰)'],['又名: 梦女芭蕾(港) / 芭蕾少女梦(台)'],"
                            ","['http://bt.pp63.org/2019/女孩.720p.BD中字.torrent', 'ed2k://|file|女孩.720p.BD中字[最新电影www.66e.cc].mp4|1691742673|3AEDEBF5993076E339D8B61E3F3DA15A|h=U3DPAO3BGLM647XUVCH67TH7X2HBJDLU|/']"
机器生活 ,"['Josh Janowicz', 'Josh Janowicz', '詹姆斯·达西', '艾狄森·蒂姆林', '史蒂文·斯崔特', '德鲁·凡·阿克尔', '马克·法姆吉列蒂', 'Hilary Barraford', 'Nicholas Baroudi', 'Ellen Michelle Monohan', 'Lisann Valentin', 'Akaash Yadav', 'Justine J. Hall', 'Zealand Tallman', 'Martin Sprock', 'Mikaela Holmes', '科幻']",['Josh Janowicz'],"['詹姆斯·达西', '艾狄森·蒂姆林', '史蒂文·斯崔特', '德鲁·凡·阿克尔', '马克·法姆吉列蒂', 'Hilary Barraford', 'Nicholas Baroudi', 'Ellen Michelle Monohan', 'Lisann Valentin', 'Akaash Yadav', 'Justine J. Hall', 'Zealand Tallman', 'Martin Sprock', 'Mikaela Holmes']",['科幻'],['制片国家/地区: 美国'],['语言: 英语'],['上映日期: 2019-05-14(美国)'],['又名: Love Thy Keepers'],"
                            一对理想主义的有吸引力的年轻夫妇获得了一个令人惊叹的，逼真的机器人，无忧无虑的帮助，但随着三人越来越近，他们对人性的感知将永远改变。","['http://bt.pp63.org/2019/机器生活.720p.BD中英双字.torrent', 'ed2k://|file|机器生活.720p.BD中英双字[最新电影www.66e.cc].mp4|710469503|D59A0067930C89E9A08B0C5421125D8F|h=BUUXJHGKAKGUS35HGGOYS5ZCJUNRCTJZ|/']"
昨天见 ,"['Stefon Bristol', 'Stefon Bristol', 'Fredrica Bailey', '伊登·邓肯-史密斯', '亚斯特罗', '玛莎·斯蒂芬妮·布莱克', '迈拉·卢克利希亚·泰勒', '达马里斯·刘易斯', '弗兰克·哈茨', '布瑞特·G·史密斯', '伊恩·安特慢', '小巴灵顿·沃特斯', 'Dante Crichlow', 'Wavyy Jonez', 'Taliyah Whitaker', 'Johnathan Nieves', 'Manny Ureña', 'Khail Bryant', 'Allen Holloway', 'Ejyp Johnson', '科幻']","['Stefon Bristol', 'Fredrica Bailey']","['伊登·邓肯-史密斯', '亚斯特罗', '玛莎·斯蒂芬妮·布莱克', '迈拉·卢克利希亚·泰勒', '达马里斯·刘易斯', '弗兰克·哈茨', '布瑞特·G·史密斯', '伊恩·安特慢', '小巴灵顿·沃特斯', 'Dante Crichlow', 'Wavyy Jonez', 'Taliyah Whitaker', 'Johnathan Nieves', 'Manny Ureña', 'Khail Bryant', 'Allen Holloway', 'Ejyp Johnson']",['科幻'],['制片国家/地区: 美国'],['语言: 英语'],['上映日期: 2019-05-03(翠贝卡电影节) / 2019-05-17(Netflix)'],['又名: 转动光阴(港/台)'],"
                            一对黑人兄妹相依为命，哥哥却被白人警察误杀，你猜猜她会怎么办？对抗强权为黑人群体发声？并不，妹妹居然造了一架时光机器，回到过去好让自己的哥哥免于枪杀！","['ed2k://|file|昨天见.720p.BD中英双字[最新电影www.66e.cc].mp4|1162860993|FF602E3F24DB37912C3B5D574F6FA9E7|h=3KDROZ5YZUUUQCJK2IJLBAFXY7OVM64Z|/', 'http://bt.pp63.org/2019/昨天见.720p.BD中英双字.torrent']"
我们一直住在城堡里 ,"['史黛西·帕松', '雪莉·杰克逊', 'Mark Kruger', '塞巴斯蒂安·斯坦', '泰莎·法米加', '亚历珊德拉·达达里奥', '克里斯平·格洛弗', '斯蒂芬·霍根', '葆拉·马尔科姆森', '彼特·奥梅拉', 'Patrick Joseph Byrnes', 'Una Carroll', 'Peter Coonan', 'Joanne Crawford', 'Bosco Hogan', 'Anna Nugent', ""Liz O'Sullivan"", '剧情', '悬疑', '惊悚']","['雪莉·杰克逊', 'Mark Kruger']","['塞巴斯蒂安·斯坦', '泰莎·法米加', '亚历珊德拉·达达里奥', '克里斯平·格洛弗', '斯蒂芬·霍根', '葆拉·马尔科姆森', '彼特·奥梅拉', 'Patrick Joseph Byrnes', 'Una Carroll', 'Peter Coonan', 'Joanne Crawford', 'Bosco Hogan', 'Anna Nugent', ""Liz O'Sullivan""]","['剧情', '悬疑', '惊悚']",['制片国家/地区: 美国'],['语言: 英语'],['上映日期: 2018-09-22(洛杉矶电影节) / 2019-05-17(美国)'],['IMDb链接: tt5952138'],"
                            塞巴斯蒂安·斯坦加盟独立制作惊悚片《古堡惊魂》(We Have Always Lived in the Castle，暂译)，卡司包括威廉·达福、泰莎·法米加、亚历珊德拉·达达里奥等。影片由斯黛茜·帕森自编自导，故事改编自雪莉·杰克逊同名恐怖小说，围绕一户神秘家庭中发生的离奇死亡事件展开。影片将在都柏林拍摄。","['ed2k://|file|我们一直住在城堡里.720p.BD中英双字[最新电影www.66e.cc].mp4|755921034|D7E7D55105A5064603627E93AC1DFCE4|h=5SV4P3BGJYYQBMASQQR7HEMY2DB6H7HA|/', 'http://bt.pp63.org/2019/我们一直住在城堡里.720p.BD中英双字.torrent']"
舍赫拉查德 ,"['让-贝尔纳·马赫兰', '让-贝尔纳·马赫兰', 'Catherine Paille', '迪伦·罗伯特', '肯扎·福特斯', 'Idir Azougli', 'Lisa Amedjout', 'Kader Benchoudar', 'Nabila Ait Amer', 'Nabila Bounad', 'Sofia Bent', 'Osman Hrustic', 'Abdellah Khoulalene', '剧情']","['让-贝尔纳·马赫兰', 'Catherine Paille']","['迪伦·罗伯特', '肯扎·福特斯', 'Idir Azougli', 'Lisa Amedjout', 'Kader Benchoudar', 'Nabila Ait Amer', 'Nabila Bounad', 'Sofia Bent', 'Osman Hrustic', 'Abdellah Khoulalene']",['剧情'],['制片国家/地区: 法国'],['语言: 法语'],['上映日期: 2018-09-05(法国)'],['又名: 塞埃哈萨德'],"
                            17岁的扎克刚刚出狱。被母亲遗弃的他在马赛鱼龙混杂的街区闲逛，后来，他遇到了少女山鲁佐德……",['ed2k://|file|舍赫拉查德.1080p.HD中字[最新电影www.66e.cc].mp4|3003556180|3FC1C3C09BB3D03609D0AEF97608D398|h=QUUCGBZTWO3SYCS7XYLFLWWDQNSTMQSD|/']
鳄口逃生 ,"['Ping Lumpraploeng', 'Ping Lumpraploeng', '提拉德·翁坡帕', 'Ratnamon Ratchiratham', '动作', '惊悚']",['Ping Lumpraploeng'],"['提拉德·翁坡帕', 'Ratnamon Ratchiratham']","['动作', '惊悚']",['制片国家/地区: 泰国'],['语言: 泰语'],['上映日期: 2018-09-27(泰国)'],['又名: Narok 6 metre'],"
                            在拍摄结束后，一家商业制作公司的艺术总监独自清理了一个6米深的废弃游泳池。由于太疲劳，他在充气垫上睡着了。当再次醒来时，水已经流很低了，他无法爬出游泳池,只能大声呼救，但唯一能听到他声音的是附近的鳄鱼。","['ed2k://|file|鳄口逃生.1080p.BD中字[最新电影www.66e.cc].mp4|1424171431|AAE41E9D3F90737FFF0D7C90F177DD2C|h=B7MSV2KQJ3U3PEPNNWNNMEELHT4EMRS4|/', 'http://bt.pp63.org/2019/鳄口逃生.1080p.BD中字.torrent']"
她的故事 ,"['闵奎东', '闵奎东', '金喜爱', '金海淑', '艺秀晶', '文淑', '李龙女', '金善映', '金俊翰', '李容怡', '崔秉默', '郑仁基', '金仁宇', '朴明申', '李志夏', '孙康国', '朴龙修', '金惠濬', '朴正子', '宋永彰', '丁夏潭', '安世河', '李裕英', '韩智敏', '陈善圭', '剧情']",['闵奎东'],"['金喜爱', '金海淑', '艺秀晶', '文淑', '李龙女', '金善映', '金俊翰', '李容怡', '崔秉默', '郑仁基', '金仁宇', '朴明申', '李志夏', '孙康国', '朴龙修', '金惠濬', '朴正子', '宋永彰', '丁夏潭', '安世河', '李裕英', '韩智敏', '陈善圭']",['剧情'],['制片国家/地区: 韩国'],['语言: 韩语'],['上映日期: 2018-06-27(韩国)'],['又名: 她们的故事(台) / Her Story'],"
                            ","['ed2k://|file|她的故.事.720p.BD中字[最新电影www.66e.cc].mp4|1014290401|758A3E53645E6E84D61771221B9D0B4F|h=NEBI7UYY3BBFNA262RSV6QPKP4H3LS2S|/', 'http://bt.pp63.org/2019/她的故.事.720p.BD中字.torrent', 'ed2k://|file|她的故事.1080p.HD中字[最新电影www.66ys.tv].mkv|1930863399|47BFB9737EB3C87797E4F8459E19D26B|h=7GBGEECR55DOCUFEPMYB7V4GUMNWBP4T|/']"
最佳男友进化论 ,"['林子聪', '程仲平', '王仲刚', '郑恺', '张雨绮', '徐冬冬', '方力申', '林子聪', '陈国坤', '田蕾希', '金刚', '胡然', '王晶', '喜剧', '爱情']","['程仲平', '王仲刚']","['郑恺', '张雨绮', '徐冬冬', '方力申', '林子聪', '陈国坤', '田蕾希', '金刚', '胡然', '王晶']","['喜剧', '爱情']",['制片国家/地区: 香港'],['语言: 汉语普通话'],['上映日期: 2019-04-12(中国大陆)'],['又名: 男神训练营 / The Sexy Guys'],"
                            情场老司机范凡（郑恺 饰）在机缘巧合之下决定开办一个“男神训练营”，用自己独到的恋爱心得助那些在爱情里苦求不得的单身狗们进化成“最佳男友”。一场婚礼上的“实践教学”让伴娘女神（张雨绮 饰）被套路之下的真心打动，几个徒弟都拥有了梦寐以求的爱情。但作为“专家”范凡自己的感情生活却是剪不断理还乱……",['ed2k://|file|最佳男友进化论.1080p.HD国语中字无水印[最新电影www.66e.cc].mp4|3812175697|1C0DD2A739E5A3B84977ADDFA7B48828|h=4LOFASK4UEVD53DSY6HGCRW63SH47SKJ|/']
毕业旅行之逍遥骑士 ,"['郭奎永', '郭奎永', '安紫依', '张朔祯', '赵一凡', '田雨', '于天奇', '喜剧']",['郭奎永'],"['安紫依', '张朔祯', '赵一凡', '田雨', '于天奇']",['喜剧'],['制片国家/地区: 中国大陆'],['语言: 汉语普通话'],['上映日期: 2019-04-19(中国大陆)'],['又名: The Road To Hippie'],"
                            高考落榜的文艺少年杨风（张朔祯饰）梦想成为一个“嬉皮士”浪子，并誓要在毕业旅行中完成自己的浪子清单：打架、泡妞、吸烟喝酒、打坐冥想、和摇滚歌手交朋友……他在好友陈火（赵一凡饰）的相助下伪装成“逍遥骑士”，想借助漂亮师姐思思（安紫依饰）完成自己的“破处之旅”，却没想到思思也暗藏自己的“少女成人计划”，“逍遥路上”演绎啼笑皆非的动人故事。",['ed2k://|file|毕业旅行之逍遥骑士.1080p.HD国语中字无水印[最新电影www.66e.cc].mkv|1196108905|6EECF73847A9715DAF64F589ABDE194D|h=PWN3SQRKJ2MTNIKGSZOWSVGT4G3CCYBA|/']
半镜 ,"['杜天甫', '杜天甫', '李易祥', '陈少虹', '孙黎', '贾致钢', '鲍振江', '王萌', '剧情', '悬疑']",['杜天甫'],"['李易祥', '陈少虹', '孙黎', '贾致钢', '鲍振江', '王萌']","['剧情', '悬疑']",['制片国家/地区: 中国大陆'],['语言: 汉语普通话'],['上映日期: 2019-05-12(中国大陆)'],['又名: HALF MIRROR'],"
                            ",['ed2k://|file|半镜.1080p.HD国语中字[最新电影www.66e.cc].mp4|1625892058|378C73E74D8DFB8C4E7B056D3C83B100|h=E75WOW4L7N7JVRIJKZPBBFLVH5DYMLID|/']
